"state","date","reported_cases","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95","mean_infectious_individuals","infectious_individuals_lower_CI_95","infectious_individuals_higher_CI_95"
"MA",2020-05-27,527,6317.94835940828,1203.80875757637,17800.640550402,74,76.3871327990104,51.653147298202,112.033863854873,0.947659375591002,0.662697521509945,1.23490850468207,52420.399407921,15164.8904074762,125165.61760978
"MA",2020-05-28,675,6311.89109570242,1148.23672260668,18202.1812744456,93,74.4385438239288,49.0153953552893,112.934052200439,0.954527025275128,0.670105234817645,1.24162089298991,51874.9619867524,14146.5558518969,127347.897491315
"MA",2020-05-29,617,5833.69885171732,1005.36501316472,17275.9087000885,78,72.6368881259951,46.344830918711,114.145103980554,0.884817835086389,0.62523706298253,1.15064666417921,51584.829077263,13442.0239263722,130617.976959227
"MD",2020-02-28,0,172.564350307904,49.4724488359029,423.800864506853,0,1.72564350307904e-13,4.94724488359029e-14,4.23800864506853e-13,2.59444218263134,1.5950121458039,3.70784266253971,0,0,0
"MD",2020-02-29,0,172.564350307904,49.4724488359029,423.800864506853,0,3.05471835770634e-06,9.04421316952282e-07,7.75108153136534e-06,2.70426557690453,1.67503163185084,3.84544813503003,26.713096166023,7.65837370791871,65.6047047296576
"MD",2020-03-01,0,172.564350307904,49.4724488359029,423.800864506853,0,6.262172633298e-05,1.85406369975218e-05,0.000158897171392989,2.75948867126855,1.7096742328822,3.92420207678302,123.781140982657,35.4867975522617,303.994159074533
"MD",2020-03-02,0,172.564350307904,49.4724488359029,423.800864506853,0,0.000360456766209348,0.000106721715400369,0.00091462762070111,2.67246657616576,1.65391945692854,3.79559652834492,272.335570429054,78.0758456205349,668.829048281786
"MD",2020-03-03,0,172.564350307904,49.4724488359029,423.800864506853,0,0.00154721484817826,0.000458089397036331,0.00392592279563654,2.76540398843761,1.71672039282522,3.92503676070189,443.925024635138,127.268801632853,1090.23566501951
"MD",2020-03-04,0,172.564350307904,49.4724488359029,423.800864506853,0,0.00451792845104768,0.00133763912777242,0.0114638495848893,2.72675631736765,1.68723669028657,3.88622141377265,616.489374943042,176.741250468756,1514.03652952636
"MD",2020-03-05,0,235.799087782992,79.4961930823186,516.144229377428,0,0.0102012319555603,0.00302031498796214,0.0258847367739946,2.7113159361376,1.67663966713512,3.86094254331615,776.298023463665,222.556768989033,1906.51066035273
